Date,Time,POINT_X,POINT_Y,Class,Video_file,Subst_Orig,Subst_Cla,Sub_Subcl,Sub_Grp,Sub_Subgr,CMECS,Modifier,CMECSMod,Co_oc_el1,CMECS_1,Modifier_1,CMECSMod1,Co_oc_el2,CMECS_2,Modifier_2,CMECSMod2,Co_oc_el3,CMECS_3,Modifier_3,CMECSMod3,Co_oc_el4,CMECS_4,Modifier_4,CMECSMod4,Site_ID,geometry
2017-07-18,09:09 am,-151.604297502,59.4777656839,"Boulder 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_18_GOPRO_933_clip_7.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_933,"c(579070.161287547, 6594082.9888425)"
2017-07-18,09:19 am,-151.613585685,59.4790031969,"Boulder 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_18_GOPRO_843_clip_8.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_843,"c(578541.147041055, 6594209.77124531)"
2017-07-18,09:25 am,-151.616134891,59.4793764526,"Sand, shell 0-<10%, microalgae 50-<90%, macroalgae 10-<50%",KBAY_2017_07_18_GOPRO_3382_clip_9.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Sand,NA,S1.2.2.2,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Bacterial Mat/Film,2.3.2.2,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_382,"c(578395.884094762, 6594248.32293378)"
2017-07-19,09:02 am,-151.413691845,59.6370442731,"Mud, shell 0-<10%, cobble/gravel 0-<10%, macroalgae 10-<50%",KBAY_2017_07_19_GOPRO_242_clip_2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,NA,NA,NA,NA,NA,2017_242,"c(589443.633669724, 6612059.06391192)"
2017-07-19,09:36 am,-151.49947006,59.5307707188,"Boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 50-<90%",KBAY_2017_07_19_GOPRO_243_clip_3.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_243,"c(584874.971756054, 6600113.92098682)"
2017-07-10,08:46 am,-151.962910616,59.3507881361,"Boulder 50-<90%, shell 10-<50%, macroalgae 50-<90%",KBAY_2017_07_10_GOPRO_065_clip_1.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_65,"c(558975.71556703, 6579572.5945294)"
2017-07-10,08:54 am,-151.953398844,59.3538910884,"shell 50-<90%, cobble/gravel 10-<50%, macroalgae 10-<50%",KBAY_2017_07_10_GOPRO_066_clip_2.mp4,Biogenic,Shell,Shell Rubble,NA,NA,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Filamentous Algal Bed,2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_66,"c(559511.147032487, 6579926.56315356)"
2017-07-10,09:03 am,-151.951848829,59.3627840091,"Boulder 50-<90%, shell 0-<10%, macroalgae 0-<10%",KBAY_2017_07_10_GOPRO_069_clip_3.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2017_69,"c(559583.689418471, 6580918.15661126)"
2017-07-10,09:24 am,-151.934684619,59.3655436209,"Boulder 50-<90%, shell 0-<10%, macroalgae 50-<90%",KBAY_2017_07_10_GOPRO_068_clip_5.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_68,"c(560554.42386375, 6581240.91716048)"
2017-07-10,09:28 am,-151.931303384,59.361826644,"Boulder 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_10_GOPRO_067_clip_6.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_67,"c(560753.247654446, 6580830.12069722)"
2017-07-10,09:36 am,-151.924455257,59.3677218756,"Mud, shell 50-<90%, cobble/gravel 0-<10%, macroalgae 10-<50%",KBAY_2017_07_10_GOPRO_070_clip_7.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,NA,NA,NA,NA,NA,2017_70,"c(561131.916441822, 6581492.80767301)"
2017-07-10,11:12 am,-151.816323709,59.3586513626,"Mud, shell 50-<90%, cobble/gravel 0-<10%, macroalgae 10-<50%",KBAY_2017_07_10_GOPRO_079_clip_13.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,NA,NA,NA,NA,NA,2017_79,"c(567295.337568374, 6580587.11428964)"
2017-07-12,08:57 am,-151.828102092,59.6649639223,"Cobble/gravel 10-<50%, shell 10-<50%, macroalgae 0-<10%",KBAY_2017_07_12_GOPRO_000_clip_1.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2017_0,"c(566024.519806699, 6614682.59277582)"
2017-07-12,01:58 pm,-151.418715234,59.5554579713,"Boulder 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_12_GOPRO_177_clip_18.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_177,"c(589376.710245402, 6602968.47477553)"
2017-07-12,02:03 pm,-151.411795332,59.5504593099,"Mud, shell 0-<10%, macroalgae 10-<50%",KBAY_2017_07_12_GOPRO_180_clip_19.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_180,"c(589781.08315297, 6602421.25489532)"
2017-07-12,02:21 pm,-151.374487757,59.5578286586,"Mud, shell 0-<10%, macroalgae 10-<50%",KBAY_2017_07_12_GOPRO_119_clip_22.jpg,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_119,"c(591869.703049987, 6603292.74097206)"
2017-07-13,10:03 am,-151.277401645,59.5953234145,"Boulder 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_13_GOPRO_192_clip_5.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_192,"c(597247.642839665, 6607605.49314635)"
2017-07-13,11:17 am,-151.246745923,59.5939608009,"cobble/gravel 10-<50%, shell 10-<50%, macroalgae 10-<50%",KBAY_2017_07_13_GOPRO_193_clip_8.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_193,"c(598982.004282292, 6607499.06775893)"
2017-07-13,01:43 pm,-151.207818424,59.6293080988,"Boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 10-<50%",KBAY_2017_07_13_GOPRO_137_clip_17.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_137,"c(601073.108806221, 6611493.09518829)"
2017-07-13,01:54 pm,-151.205667084,59.6297923604,"Boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_13_GOPRO_199_clip_18.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_199,"c(601192.959168936, 6611550.28709996)"
2017-07-13,02:38 pm,-151.202531683,59.6474059631,"Boulder/cobble/gravel 50-<90%, shell 0-<10%, macroalgae 90-100%",KBAY_2017_07_13_GOPRO_202_clip_21.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 90% - 100%,PC11,NA,NA,NA,NA,NA,NA,NA,NA,2017_202,"c(601316.651898999, 6613516.07634242)"
2017-07-14,09:56 am,-151.05028858,59.7455962162,"Mud, shell 0%, macroalgae 10-<50, microalgae 10-<50",KBAY_2017_07_14_GOPRO_160_clip_6.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.3.2.2,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_160,"c(609575.083815916, 6624689.87860097)"
2017-07-14,10:05 am,-151.052266931,59.7449932394,"Mud, shell 0%, macroalgae 10-<50",KBAY_2017_07_14_GOPRO_211_clip_7.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017_204,"c(609465.893502763, 6624619.48103706)"
2017-07-14,10:27 am,-151.048361228,59.7419945529,"Mud, shell 10-<50%, macroalgae 0-<10%",KBAY_2017_07_14_GOPRO_205_clip_9.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017_205,"c(609695.182855705, 6624292.08582601)"
2017-07-14,11:09 am,-151.05546916,59.7230402236,"Boulder 50-<90%, shell 0-<10%, macroalgae 10-<50%",KBAY_2017_07_14_GOPRO_168_clip_13.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder,S1.2.1.1.1,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,NA,NA,NA,NA,2017_168,"c(609357.628112031, 6622170.13401506)"
2017-07-14,01:24 pm,-151.106294101,59.7054740597,"Boulder/cobble/gravel 10-<50%, shell 0-<10%, macroalgae 50-<90%",KBAY_2017_07_14_GOPRO_207_clip_22.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_206,"c(606555.694023472, 6620131.74509608)"
2017-07-15,10:46 am,-151.706940712,59.4143957742,"Mud, shell 10-<50%, cobble/gravel 0-<10%, macroalgae 50-<90%",KBAY_2017_07_15_GOPRO_043_clip_1.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,NA,NA,NA,NA,NA,2017_43,"c(573392.897022329, 6586909.54726485)"
2017-07-15,10:55 am,-151.714646644,59.4163099561,"Mud, shell 10-<50%, cobble/gravel 0-<10%, macroalgae 50-<90%",KBAY_2017_07_15_GOPRO_045_clip_2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,NA,NA,NA,NA,NA,2017_45,"c(572951.441141431, 6587114.20754296)"
2017-07-15,11:00 am,-151.71561597,59.4196040475,"Mud, shell 10-<50%, macroalgae 50-<90%",KBAY_2017_07_15_GOPRO_046_clip_3.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_46,"c(572889.352005535, 6587479.92367638)"
2017-07-15,11:07 am,-151.724723374,59.4208285994,"Mud, shell 10-<50%, macroalgae 0-<10%",KBAY_2017_07_15_GOPRO_042_clip_4.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2017_42,"c(572369.939785686, 6587606.33085951)"
2017-07-15,11:13 am,-151.726638578,59.4225839341,"Mud, shell 0-<10%, macroalgae 0-<10%",KBAY_2017_07_15_GOPRO_041_clip_5.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2017_41,"c(572257.525217911, 6587799.69665256)"
2017-07-15,11:20 am,-151.720324556,59.4243635217,"Mud, shell 0%, macroalgae 0-10,",KBAY_2017_07_15_GOPRO_044_clip_6.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017_44,"c(572611.971938968, 6588004.71692605)"
2017-07-15,11:26 am,-151.727378383,59.4286082636,"Mud, shell 0%, macroalgae 0-10",KBAY_2017_07_15_GOPRO_052_clip_7.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,mud,NA,S1.2.2.5,NA,NA,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017_52,"c(572202.719024993, 6588469.67056802)"
2017-07-15,11:35 am,-151.738384677,59.4325885836,"Mud, shell 0-<10%, macroalgae 50-<90%",KBAY_2017_07_15_GOPRO_051_clip_8.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_51,"c(571569.928162725, 6588900.96815276)"
